run_id,p,d_model,plateau_participation_ratio,plateau_fourier_concentration
modular_p61_seed0,61,128,14.839175360543388,0.5292231356827715
modular_p61_seed1,61,128,15.86649333106147,0.5214471815050926
modular_p61_seed2,61,128,14.2859787940979,0.5422050742755941
modular_p61_seed3,61,128,14.962583780288696,0.5680739048236293
modular_p61_seed4,61,128,12.707624626159667,0.6040328231526647
modular_p97_seed0,97,128,11.57538070678711,0.6556735121998603
modular_p97_seed1,97,128,11.331351672901826,0.6912241871987863
modular_p97_seed2,97,128,13.354553985595704,0.6157345894859076
modular_p97_seed3,97,128,11.474591255187988,0.6924814613595731
modular_p97_seed4,97,128,10.840779645102364,0.712835046425079
modular_p113_seed0,113,128,9.337891459465027,0.7890414493475013
modular_p113_seed1,113,128,14.410648822784424,0.5919488421626424
modular_p113_seed2,113,128,11.667630767822265,0.6673431917262544
modular_p113_seed3,113,128,11.017935180664063,0.7033089658264904
modular_p113_seed4,113,128,11.475150108337402,0.6816404664787359
