run_id,family,tau_c,t_star,ratio
modular_p61_seed0,modular,111.57177565710485,3200,28.681088753437127
modular_p61_seed1,modular,111.57177565710485,5000,44.81420117724551
modular_p61_seed2,modular,111.57177565710485,2200,19.718248517988023
modular_p61_seed3,modular,111.57177565710485,4400,39.436497035976046
modular_p61_seed4,modular,111.57177565710485,1600,14.340544376718563
modular_p97_seed0,modular,111.57177565710485,1400,12.547976329628742
modular_p97_seed1,modular,111.57177565710485,1600,14.340544376718563
modular_p97_seed2,modular,111.57177565710485,1400,12.547976329628742
modular_p97_seed3,modular,111.57177565710485,1600,14.340544376718563
modular_p97_seed4,modular,111.57177565710485,1400,12.547976329628742
modular_p113_seed0,modular,111.57177565710485,1200,10.755408282538921
modular_p113_seed1,modular,111.57177565710485,1200,10.755408282538921
modular_p113_seed2,modular,111.57177565710485,1200,10.755408282538921
modular_p113_seed3,modular,111.57177565710485,1200,10.755408282538921
modular_p113_seed4,modular,111.57177565710485,1600,14.340544376718563
parity_n40_k2_seed0,parity,318.77650187744246,200,0.627398816481437
parity_n40_k2_seed1,parity,318.77650187744246,200,0.627398816481437
parity_n40_k2_seed2,parity,318.77650187744246,200,0.627398816481437
parity_n40_k2_seed3,parity,318.77650187744246,200,0.627398816481437
parity_n40_k2_seed4,parity,318.77650187744246,200,0.627398816481437
parity_n40_k3_seed0,parity,318.77650187744246,9800,30.742542007590416
parity_n40_k3_seed1,parity,318.77650187744246,8800,27.60554792518323
parity_n40_k3_seed2,parity,318.77650187744246,15400,48.309708869070654
parity_n40_k3_seed3,parity,318.77650187744246,11200,35.13433372296048
parity_n40_k3_seed4,parity,318.77650187744246,7800,24.468553842776046
parity_n40_k4_seed0,parity,318.77650187744246,5200,16.312369228517365
parity_n40_k4_seed1,parity,318.77650187744246,4200,13.175375146110179
parity_n40_k4_seed2,parity,318.77650187744246,4600,14.430172779073052
parity_n40_k4_seed3,parity,318.77650187744246,3600,11.293178696665867
parity_n40_k4_seed4,parity,318.77650187744246,4400,13.802773962591615
