signal,n,wilcoxon_p,sign_test_p,n_positive,prop_positive,rank_biserial_r,ci_lo,ci_mean,ci_hi,bonferroni_significant
modular:lead_participation_ratio,15,0.01501872734176439,0.05923461914062499,11,0.7333333333333333,0.6703296703296703,26.666666666666668,386.6666666666667,880.0,False
modular:lead_weight_norm,15,0.09799755940165894,0.696380615234375,7,0.4666666666666667,0.4393939393939394,-80.0,400.0,1026.6666666666667,False
modular:lead_fourier_conc,15,0.999719454780018,1.0,0,0.0,-1.0,-480.0,-400.0,-320.0,False
parity:lead_participation_ratio,15,0.9709537544891819,0.99951171875,2,0.13333333333333333,-0.5714285714285714,-813.3333333333334,-253.33333333333334,586.6666666666666,False
parity:lead_weight_norm,15,0.0051410241109744684,0.15087890624999997,10,0.6666666666666666,0.75,1200.0,4066.6666666666665,6986.666666666667,True
parity:lead_walsh_score,15,0.818837956916254,0.982421875,4,0.26666666666666666,-0.26666666666666666,-866.6666666666666,-40.0,1000.0,False
parity:lead_walsh_score_deg1,15,0.7441112906053867,0.940765380859375,5,0.3333333333333333,-0.19166666666666668,-1506.6666666666667,573.3333333333334,3306.6666666666665,False
