group,weight_decay,seed,grokked,t_grok,final_val_acc,tau_c,clock_ratio
D4,1.0,0,False,,0.23076924681663513,223.1435513142097,
D4,1.0,1,False,,0.3076923191547394,223.1435513142097,
D4,1.0,2,False,,0.46153849363327026,223.1435513142097,
D4,1.0,3,False,,0.19230769574642181,223.1435513142097,
D4,1.0,4,False,,0.3461538553237915,223.1435513142097,
S4,0.5,0,False,,0.06926406919956207,446.2871026284194,
S4,0.5,1,False,,0.06060606241226196,446.2871026284194,
S4,0.5,2,False,,0.06060606241226196,446.2871026284194,
S4,0.5,3,False,,0.051948051899671555,446.2871026284194,
S4,0.5,4,False,,0.043290041387081146,446.2871026284194,
S4,1.0,0,False,,0.06926406919956207,223.1435513142097,
S4,1.0,1,False,,0.0476190485060215,223.1435513142097,
S4,1.0,2,False,,0.06060606241226196,223.1435513142097,
S4,1.0,3,False,,0.034632034599781036,223.1435513142097,
S4,1.0,4,False,,0.034632034599781036,223.1435513142097,
S4,2.0,0,False,,0.08658008277416229,111.57177565710485,
S4,2.0,1,False,,0.06060606241226196,111.57177565710485,
S4,2.0,2,False,,0.06926406919956207,111.57177565710485,
S4,2.0,3,False,,0.05627705529332161,111.57177565710485,
S4,2.0,4,False,,0.05627705529332161,111.57177565710485,
D4,2.0,0,False,,0.11538462340831757,111.57177565710485,
D4,2.0,1,False,,0.3461538553237915,111.57177565710485,
D4,2.0,2,False,,0.3076923191547394,111.57177565710485,
D4,2.0,3,False,,0.26923078298568726,111.57177565710485,
D4,2.0,4,False,,0.26923078298568726,111.57177565710485,
