run_id,step,train_loss,val_loss,train_acc,val_acc,weight_norm,fourier_conc,restricted_loss,participation_ratio,entropy_rank,rank99,sigma1,walsh_score_deg1,walsh_score,isotypic_bound,energy_trivial,energy_sign,energy_two_dim,energy_standard,energy_standard_sign,energy_triv,energy_chi2,energy_chi3,energy_chi4
modular_p61_seed0,0,4.345117568969727,4.193131923675537,0.012096773833036423,0.013882668688893318,93.81444324404556,0.1548198065122704,4.1935930252075195,23.360538482666016,62.85647201538086,55,39.2600212097168,,,,,,,,,,,,
modular_p61_seed0,200,0.04267692193388939,4.007071018218994,0.9979838728904724,0.37796685099601746,65.64468747369801,0.15419770151657952,4.99264669418335,37.00544357299805,89.96949768066406,96,18.839868545532227,,,,,,,,,,,,
modular_p61_seed0,400,0.009651669301092625,3.823485851287842,1.0,0.38110166788101196,46.1588521839006,0.1543861991897518,4.792126655578613,38.05656433105469,86.58109283447266,90,3.8070762157440186,,,,,,,,,,,,
modular_p61_seed0,600,0.03522637113928795,3.681436061859131,1.0,0.3833408057689667,34.700759916395924,0.15465297894380445,4.433628559112549,37.03134536743164,84.89173126220703,86,1.5945249795913696,,,,,,,,,,,,
modular_p61_seed0,800,0.23818539083003998,3.838101387023926,0.9993279576301575,0.3837886154651642,30.2314334302712,0.15596965617272637,4.346403121948242,32.069705963134766,78.28528594970703,74,1.754855990409851,,,,,,,,,,,,
modular_p61_seed0,1000,0.09850038588047028,3.616584300994873,1.0,0.3837886154651642,28.52631480120844,0.1597377836748101,4.104584693908691,32.60936737060547,76.69847869873047,72,0.8127122521400452,,,,,,,,,,,,
modular_p61_seed0,1200,1.0296857357025146,4.3268609046936035,0.8413978219032288,0.286609947681427,30.32406920685042,0.17970125820129154,4.045711040496826,21.948148727416992,58.128910064697266,46,2.8109865188598633,,,,,,,,,,,,
modular_p61_seed0,1400,0.11149279028177261,3.4862020015716553,1.0,0.3855799436569214,30.478823725029518,0.18772167927353228,3.8666820526123047,28.548139572143555,69.3188705444336,61,0.7878711819648743,,,,,,,,,,,,
modular_p61_seed0,1600,0.09363503754138947,3.5801949501037598,1.0,0.37751904129981995,32.49352370472875,0.19984471589106836,3.9999518394470215,27.0843505859375,64.51296997070312,53,0.772226095199585,,,,,,,,,,,,
modular_p61_seed0,1800,0.06376351416110992,3.191460371017456,1.0,0.3891625702381134,33.35749394534843,0.22070668799530557,3.4478092193603516,27.073970794677734,68.47541809082031,63,0.9424554705619812,,,,,,,,,,,,
modular_p61_seed0,2000,0.024630043655633926,3.0132896900177,1.0,0.39319300651550293,33.61344404611093,0.2253115781362887,3.3519623279571533,26.561891555786133,63.04864501953125,53,0.8763540387153625,,,,,,,,,,,,
